,Landing page,Sessions,Users,New users,Average engagement time per session,Key eventsAll eventsAll eventsarrow_drop_down,Total revenue,,,,,,,,,,,,,,,,,,
1,/,"67,099","47,549","45,029",7s,"2,653.00",1390,,,,,,,,,,,,,,,,,,
2,(not set),"26,253","20,762",3,0s,118,0,,,,,,,,,,,,,,,,,,
3,/product/chrome-dino-googler-accessory-pack-ggoegfda213799,"1,925","1,769","1,216",14s,"2,646.00",0,,,,,,,,,,,,,,,,,,
4,/canada,"1,582","1,385","1,225",6s,44,0,,,,,,,,,,,,,,,,,,
5,/product/google-ripl-forest-green-bottle-ggoegdhh220199,"1,064",985,797,8s,"1,129.00",0,,,,,,,,,,,,,,,,,,
6,/shop/apparel,769,652,504,22s,42,0,,,,,,,,,,,,,,,,,,
7,/shop/lifestyle/eco-friendly,735,700,398,25s,30,0,,,,,,,,,,,,,,,,,,
8,/shop/apparel/mens,578,452,224,21s,81,308,,,,,,,,,,,,,,,,,,
9,/shop/lifestyle/bags,545,479,398,9s,19,0,,,,,,,,,,,,,,,,,,
10,/shop/shop-by-brand/youtube,504,457,417,17s,37,0,,,,,,,,,,,,,,,,,,
11,/product/chrome-dino-collectible-figurines-ggoegabj125299,384,330,281,13s,524,0,,,,,,,,,,,,,,,,,,
12,/shop/lifestyle/drinkware,357,302,212,14s,50,0,,,,,,,,,,,,,,,,,,
13,/canada/fr,322,268,251,10s,6,0,,,,,,,,,,,,,,,,,,
14,/checkout,312,207,44,9s,16,296,,,,,,,,,,,,,,,,,,
15,/account,302,182,55,10s,13,0,,,,,,,,,,,,,,,,,,
16,/shop/new,299,224,83,22s,31,0,,,,,,,,,,,,,,,,,,
17,/product/google-mini-kick-ball-ggoegfsr022099,272,269,266,3s,192,0,,,,,,,,,,,,,,,,,,
18,/product/google-campus-bike-ggoegcba096099,262,239,220,11s,302,0,,,,,,,,,,,,,,,,,,
19,/canada/product/google-heather-forest-tee-ggcngxxx1044,261,191,191,1s,318,0,,,,,,,,,,,,,,,,,,
20,/shop/clearance,259,189,106,14s,11,0,,,,,,,,,,,,,,,,,,
21,/product/for-everyone-google-tee-ggoegxxx1802,235,217,205,13s,258,0,,,,,,,,,,,,,,,,,,
22,/product/super-g-timbuk2-recycled-backpack-ggoegbrb207199,221,179,124,9s,265,0,,,,,,,,,,,,,,,,,,
23,/canada/shop/apparel/mens-unisex,215,172,164,8s,0,0,,,,,,,,,,,,,,,,,,
24,/product/google-hologram-mtv-campus-sticker-ggoegcka198299,179,175,163,7s,188,0,,,,,,,,,,,,,,,,,,
25,/product/google-bear-baby-blanket-beige-ggoegcbd164599,164,155,143,6s,174,0,,,,,,,,,,,,,,,,,,
26,/shop/shop-by-brand/android,141,117,94,13s,8,0,,,,,,,,,,,,,,,,,,
27,/shop/stationery,140,118,64,19s,13,0,,,,,,,,,,,,,,,,,,
28,/shop/shop-by-brand/google,138,112,76,19s,8,0,,,,,,,,,,,,,,,,,,
29,/product/google-sticker-ggoegcka166399,131,127,120,9s,141,0,,,,,,,,,,,,,,,,,,
30,/shop-by-brand/google,119,84,73,0s,0,0,,,,,,,,,,,,,,,,,,
31,/shop/apparel/headgear,112,99,84,7s,8,0,,,,,,,,,,,,,,,,,,
32,/product/chrome-dino-warm-and-cozy-accessory-pack-ggoegfda213899,102,60,42,7s,130,0,,,,,,,,,,,,,,,,,,
33,/basket.html,101,68,41,4s,1,0,,,,,,,,,,,,,,,,,,
34,/search,97,68,17,8s,13,2812,,,,,,,,,,,,,,,,,,
35,/shop/womens,97,76,67,20s,4,0,,,,,,,,,,,,,,,,,,
36,/shop/collections/chrome-dino,94,67,34,17s,6,0,,,,,,,,,,,,,,,,,,
37,/product/chrome-dino-dark-mode-collectible-ggoegabq170299,92,72,59,7s,115,0,,,,,,,,,,,,,,,,,,
38,/product/google-cloud-unisex-onyx-zip-hoodie-ggoecxxx1898,90,81,67,10s,115,0,,,,,,,,,,,,,,,,,,
39,/shop/apparel/womens,84,56,9,5s,5,0,,,,,,,,,,,,,,,,,,
40,/shop/lifestyle,82,68,37,12s,0,0,,,,,,,,,,,,,,,,,,
41,/shop/lifestyle/fun-and-games,80,50,21,7s,8,0,,,,,,,,,,,,,,,,,,
42,/canada/shop/apparel/headgear,78,60,39,0s,0,0,,,,,,,,,,,,,,,,,,
43,/product/chrome-dino-marine-layer-tee-ggoegxxx1194,76,69,60,9s,109,0,,,,,,,,,,,,,,,,,,
44,/product/collections/super-g-tahoe-unisex-black-puffer-vest-ggoegxxx2053,73,72,70,4s,0,0,,,,,,,,,,,,,,,,,,
45,/shop/collections/view-all-campus-collection,72,71,44,13s,0,0,,,,,,,,,,,,,,,,,,
46,/shop/shop-by-brand/google-cloud,69,34,9,14s,3,0,,,,,,,,,,,,,,,,,,
47,/product/google-cloud-unisex-onyx-tee-ggoecxxx1907,65,60,54,11s,75,0,,,,,,,,,,,,,,,,,,
48,/product/mommy-works-at-google-book-ggoegfbq156799,63,57,53,8s,80,0,,,,,,,,,,,,,,,,,,
49,/shop/socks,62,53,53,9s,4,0,,,,,,,,,,,,,,,,,,
50,/Google Redesign/Stationery,61,52,50,1s,0,0,,,,,,,,,,,,,,,,,,
51,/product/chrome-dino-game-over-mug-ggoegdwb211499,59,48,45,7s,74,0,,,,,,,,,,,,,,,,,,
52,/product/google-black-eco-zip-hoodie-ggoegxxx1648,58,49,38,11s,82,0,,,,,,,,,,,,,,,,,,
53,/product/daddy-works-at-google-book-ggoegfbq156899,56,42,36,9s,74,0,,,,,,,,,,,,,,,,,,
54,/product/google-noogler-hat-patch-ggoegcba198799,55,54,54,5s,55,0,,,,,,,,,,,,,,,,,,
55,/product/google-sensory-support-event-kit-ggcogcbq218799,55,43,31,8s,61,0,,,,,,,,,,,,,,,,,,
56,/shop/shop-by-brand,55,49,34,10s,2,0,,,,,,,,,,,,,,,,,,
57,/product/google-gradient-blue-sunglasses-ggoeghga174399,53,48,46,9s,71,0,,,,,,,,,,,,,,,,,,
58,/product/super-g-brick-puzzle-set-ggoegfba200999,53,41,30,21s,88,0,,,,,,,,,,,,,,,,,,
59,/product/chrome-dino-hit-the-slopes-sweater-ggoegxxx2244,52,37,19,13s,79,0,,,,,,,,,,,,,,,,,,
60,/product/google-onyx-water-bottle-ggoegdhb185499,51,51,47,13s,65,0,,,,,,,,,,,,,,,,,,
61,/product/google-recycled-black-backpack-ggoegbrb186599,50,41,29,8s,65,0,,,,,,,,,,,,,,,,,,
62,/product/google-ripl-ocean-blue-bottle-ggoegdhc186099,50,48,27,10s,58,0,,,,,,,,,,,,,,,,,,
63,/shop/youtube,50,46,43,10s,1,0,,,,,,,,,,,,,,,,,,
64,/product/google-cloud-full-zip-packable-jacket-ggoecxxx1885,49,45,39,6s,61,0,,,,,,,,,,,,,,,,,,
65,/product/google-camp-mug-white-ggoegdwq183599,48,45,42,12s,74,0,,,,,,,,,,,,,,,,,,
66,/shop/apparel/kids,48,31,12,4s,7,0,,,,,,,,,,,,,,,,,,
67,/product/google-vintage-washed-plum-sweatshirt-ggoegxxx2038,46,15,5,5s,54,0,,,,,,,,,,,,,,,,,,
68,/product/emoji-kitchen-sticker-sheet-ggoegoka209499,45,44,44,20s,3,0,,,,,,,,,,,,,,,,,,
69,/return-policy,43,33,3,5s,0,0,,,,,,,,,,,,,,,,,,
70,/product/google-indigo-onesie-ggoegxxx2000,42,36,27,7s,58,0,,,,,,,,,,,,,,,,,,
71,/shop/mens,42,39,32,25s,2,0,,,,,,,,,,,,,,,,,,
72,/25thBirthday,41,38,29,0s,0,0,,,,,,,,,,,,,,,,,,
73,/shop/stationery/stickers,41,27,11,6s,2,0,,,,,,,,,,,,,,,,,,
74,/product/google-cloud-cap-ggoecapb180310,40,40,38,8s,43,0,,,,,,,,,,,,,,,,,,
